time,vx, vy, vtheta
5.38,-0.1824,0,0
5.39,-0.1872,0,0
5.4,-0.192,0,0
5.41,-0.1968,0,0
5.42,-0.2016,0,0
5.43,-0.2064,0,0
5.44,-0.2112,0,0
5.45,-0.216,0,0
5.46,-0.2208,0,0
5.47,-0.2256,0,0
5.48,-0.2304,0,0
5.49,-0.2352,0,0
5.5,-0.24,0,0
5.51,-0.2448,0,0
5.52,-0.2496,0,0
5.53,-0.2544,0,0
5.54,-0.2592,0,0
5.55,-0.264,0,0
5.56,-0.2688,0,0
5.57,-0.2736,0,0
5.58,-0.2784,0,0
5.59,-0.2832,0,0
5.6,-0.288,0,0
5.61,-0.2928,0,0
5.62,-0.2976,0,0
5.63,-0.3024,0,0
5.64,-0.3072,0,0
5.65,-0.312,0,0
5.66,-0.3168,0,0
5.67,-0.3216,0,0
5.68,-0.3264,0,0
5.69,-0.3312,0,0
5.7,-0.336,0,0
5.71,-0.3408,0,0
5.72,-0.3456,0,0
5.73,-0.3504,0,0
5.74,-0.3552,0,0
5.75,-0.36,0,0
5.76,-0.3648,0,0
5.77,-0.3696,0,0
5.78,-0.3744,0,0
5.79,-0.3792,0,0
5.8,-0.384,0,0
5.81,-0.3888,0,0
5.82,-0.3936,0,0
5.83,-0.3984,0,0
5.84,-0.4032,0,0
5.85,-0.408,0,0
5.86,-0.4128,0,0
5.87,-0.4176,0,0
5.88,-0.4224,0,0
5.89,-0.4272,0,0
5.9,-0.432,0,0
5.91,-0.4368,0,0
5.92,-0.4416,0,0
5.93,-0.4464,0,0
5.94,-0.4512,0,0
5.95,-0.456,0,0
5.96,-0.4608,0,0
5.97,-0.4656,0,0
5.98,-0.4704,0,0
5.99,-0.4752,0,0
6,-0.48,0,0
6.01,-0.4848,0,0
6.02,-0.4896,0,0
6.03,-0.4944,0,0
6.04,-0.4992,0,0
6.05,-0.504,0,0
6.06,-0.5088,0,0
6.07,-0.5136,0,0
6.08,-0.5184,0,0
6.09,-0.5232,0,0
6.1,-0.528,0,0
6.11,-0.5328,0,0
6.12,-0.5376,0,0
6.13,-0.5424,0,0
6.14,-0.5472,0,0
6.15,-0.552,0,0
6.16,-0.5568,0,0
6.17,-0.5616,0,0
6.18,-0.5664,0,0
6.19,-0.5712,0,0
6.2,-0.576,0,0
6.21,-0.5808,0,0
6.22,-0.5856,0,0
6.23,-0.5904,0,0
6.24,-0.5952,0,0
6.25,-0.6,0,0
6.26,-0.6048,0,0
6.27,-0.6096,0,0
6.28,-0.6144,0,0
